aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-4374,-106,7179,4,-158,2,-3.37,-20.60,1.29
-3973,-149,7280,1,-141,2,-3.27,-18.59,1.26
-3655,-179,7297,-2,-132,0,-3.24,-16.75,1.23
-3368,-218,7255,-5,-138,-3,-3.26,-14.89,1.24
-3013,-289,7178,-8,-165,-3,-3.33,-12.72,1.24
-2483,-399,7070,-11,-196,1,-3.45,-10.09,1.21
-1846,-497,6961,-12,-208,8,-3.59,-7.19,1.08
-1257,-542,6917,-8,-190,15,-3.69,-4.42,0.86
-882,-576,6980,0,-152,17,-3.71,-2.12,0.62
-756,-597,7127,6,-107,12,-3.64,-0.48,0.42
241,-190,8226,-2,-2,-2,-1.39,2.04,4.61
252,-194,8210,-1,-2,-2,-1.40,2.06,4.63
254,-201,8184,-1,-2,-2,-1.41,2.07,4.65
249,-207,8157,-1,-3,-1,-1.42,2.10,4.66
248,-214,8136,-1,-3,-2,-1.43,2.13,4.67
259,-213,8116,0,-3,-2,-1.42,2.16,4.69
275,-210,8107,0,-3,-2,-1.42,2.20,4.71
284,-212,8121,1,-3,-2,-1.40,2.23,4.73
280,-212,8128,0,-2,-1,-1.39,2.26,4.74
248,-215,8130,0,-3,-1,-1.38,2.28,4.75
215,-216,8119,0,-4,-2,-1.37,2.31,4.77
199,-216,8091,0,-4,-3,-1.37,2.35,4.79
206,-225,8055,0,-4,-3,-1.36,2.40,4.83
224,-237,8008,0,-4,-4,-1.35,2.45,4.87
246,-244,7980,1,-5,-3,-1.34,2.51,4.91
266,-245,7979,2,-6,-3,-1.30,2.58,4.95
293,-235,7989,3,-7,-3,-1.26,2.67,4.99
339,-224,8018,3,-8,-4,-1.22,2.78,5.03
398,-206,8041,2,-8,-4,-1.18,2.89,5.07
462,-184,8059,2,-7,-4,-1.14,2.99,5.13
524,-154,8100,3,-6,-4,-1.08,3.09,5.18
596,-107,8167,4,-3,-4,-1.01,3.15,5.24
682,-64,8265,4,2,-4,-0.93,3.17,5.28
762,-31,8382,4,11,-4,-0.85,3.06,5.33
803,-5,8456,4,33,-5,-0.78,2.72,5.38
733,21,8470,6,64,-10,-0.68,1.96,5.49
560,32,8431,9,102,-19,-0.55,0.67,5.70
326,30,8371,13,135,-30,-0.36,-1.12,6.07
152,12,8328,17,159,-42,-0.15,-3.28,6.63
96,0,8337,17,172,-50,0.05,-5.63,7.34
125,-2,8382,16,180,-49,0.20,-8.08,8.09
134,30,8463,13,186,-42,0.30,-10.59,8.79
37,76,8540,7,184,-31,0.35,-13.09,9.37
-201,111,8567,-1,179,-20,0.31,-15.54,9.78
-555,161,8497,-10,174,-10,0.17,-17.93,10.05
